Account_ID,Class_Predicted,Class1_Prob
0011p00001Sgf9s,0,0.0631
00124000015MJ24,0,0.0512
0011p00002Seahr,0,0.0013
0011p00001Sh9HC,0,0.0108
00124000006q51A,0,0.0748
00124000009UB7u,0,0.0522
0012400000F49Il,1,0.5714
00124000004ryjG,0,0.0652
0012400000U1oIW,0,0.0225
0012400000KiJUW,1,0.9593
0012400000Xw415,0,0.2947
0011p00002dLRRN,0,0.09
0012400000bTic4,0,0.0309
0011p00001Sh4eO,0,0.056
0011p00001Sh3dl,0,0.0045
0011p00001Sh3dM,0,0.0403
0011p00002Seauy,0,0.3383
0011p00002SeaqJ,0,0.0486
0011p00002Seaox,0,0.0969
0011p00001USQOL,0,0.3383
0011p00002Seb8D,0,0.1065
00124000009UqMD,0,0.0082
0011p00001ShAW2,0,0.1447
0011p00002SeSZV,0,0.0028
00124000007z1LH,0,0.0014
0011p00002SeSIl,0,0.0275
0011p00002SeSil,0,0.051
0011p00002SeSsb,0,0.0048
0011p00002SeSjD,0,0.0875
0011p00002SeSjF,0,0.1717
0011p00002SeRgL,0,0.0161
0011p00002SeS3O,0,0.1235
0011p00002SeSjL,0,0.0029
0011p00002SeSoX,0,0.0262
0011p00002SeS3T,0,0.1102
0011p00001Sh8ba,0,0.1111
0011p00002SeRgh,0,0.0155
0011p00002SeS3g,0,0.061
0011p00002SebWz,0,0.0569
0011p00002SebdQ,0,0.1157
0011p00002SebWB,0,0.0494
0011p00002SebRG,0,0.4523
0011p00002SebY7,0,0.0109
0011p00002SebRS,0,0.0765
0011p00002Sebe8,0,0.1158
0011p00002SebWO,0,0.2823
0011p00001Sh8n7,1,0.9561
0011p00002SeRlC,0,0.1186
0011p00002SeS0H,1,0.5812
0011p00002SeSCi,0,0.4015
0011p00002SeSDQ,0,0.3673
0011p00002SeRnb,0,0.0178
0011p00002SeRsY,0,0.0122
0011p00002SeRzT,0,0.2683
00124000008dEDd,1,0.6695
0011p00002SeRzW,0,0.0083
0011p00001USQTq,0,0.0871
