Account_ID,Class_Predicted,Class1_Prob
0011p00001Sgf9s,1,0.7493
00124000015MJ24,0,0.3318
0011p00002Seahr,0,0.2286
0011p00001Sh9HC,0,0.2515
00124000006q51A,1,0.5441
00124000009UB7u,1,0.7616
0012400000F49Il,0,0.2286
00124000004ryjG,0,0.3318
0012400000U1oIW,1,0.5542
0012400000KiJUW,1,0.7493
0012400000Xw415,0,0.3318
0011p00002dLRRN,0,0.2286
0012400000bTic4,0,0.2286
0011p00001Sh4eO,0,0.2286
0011p00001Sh3dl,0,0.2286
0011p00001Sh3dM,1,0.5542
0011p00002Seauy,0,0.2286
0011p00002SeaqJ,0,0.2286
0011p00002Seaox,0,0.3318
0011p00001USQOL,1,0.7493
0011p00002Seb8D,0,0.4161
00124000009UqMD,0,0.2286
0011p00001ShAW2,0,0.4161
0011p00002SeSZV,0,0.4161
00124000007z1LH,0,0.2406
0011p00002SeSIl,0,0.2286
0011p00002SeSil,0,0.2286
0011p00002SeSsb,0,0.2286
0011p00002SeSjD,1,0.5441
0011p00002SeSjF,1,0.5441
0011p00002SeRgL,0,0.3318
0011p00002SeS3O,1,0.7836
0011p00002SeSjL,0,0.2286
0011p00002SeSoX,0,0.2286
0011p00002SeS3T,1,0.7836
0011p00001Sh8ba,0,0.4161
0011p00002SeRgh,0,0.2286
0011p00002SeS3g,0,0.2286
0011p00002SebWz,0,0.2286
0011p00002SebdQ,0,0.4161
0011p00002SebWB,0,0.2286
0011p00002SebRG,1,0.7493
0011p00002SebY7,1,0.5542
0011p00002SebRS,0,0.2286
0011p00002Sebe8,1,0.7616
0011p00002SebWO,0,0.2286
0011p00001Sh8n7,1,0.8335
0011p00002SeRlC,0,0.3318
0011p00002SeS0H,1,0.8335
0011p00002SeSCi,0,0.2406
0011p00002SeSDQ,1,0.8335
0011p00002SeRnb,0,0.4161
0011p00002SeRsY,0,0.3318
0011p00002SeRzT,1,0.5441
00124000008dEDd,0,0.3318
0011p00002SeRzW,0,0.4161
0011p00001USQTq,0,0.2643
0011p00001Sh8xM,1,0.8335
0011p00002SelRl,0,0.4161
0011p00002SekkT,0,0.3318
0011p00002Selpr,0,0.2286
0011p00002SejEv,0,0.3318
0011p00002SelQ3,0,0.2286
0011p00002SelT3,0,0.2406
0011p00002Seldc,0,0.2286
0011p00002Sejtf,1,0.6837
0011p00002Sekll,1,0.5441
0011p00002SekpP,1,0.5441
0011p00002Sejfk,0,0.2286
0011p00002SejC6,0,0.2286
0011p00002Seiii,0,0.3318
0011p00002SejuI,0,0.2406
0011p00002SekoO,0,0.3318
0011p00002SeleC,0,0.2406
0011p00002Seiir,0,0.2286
0011p00002SelQc,0,0.3318
0011p00002SejgE,0,0.4324
0011p00002SekGS,1,0.6756
0011p00002SeleU,0,0.2406
0011p00002SelR0,0,0.4161
0011p00002SelbQ,0,0.2286
0011p00002SemhB,0,0.2286
0011p00002Semas,0,0.3318
0011p00002SemcI,1,0.7493
0011p00002SelLl,0,0.3318
0011p00002Sejrg,0,0.2286
0011p00002Sejsv,0,0.2286
0011p00002SelXm,0,0.4161
0011p00002SekZE,0,0.2286
0011p00002SeksY,0,0.3318
0011p00002SejY2,0,0.2286
0011p00002SelYD,1,0.7493
0011p00002Selmu,0,0.2286
0011p00002SejYN,0,0.4161
0011p00002SelnI,0,0.2286
0011p00002SeikM,0,0.2286
0011p00002SekaF,0,0.2286
0011p00002SektQ,1,0.8335
0011p00002Sek5Z,0,0.2286
0011p00002SelNt,1,0.5441
0011p00002SelCz,0,0.3318
0011p00002SejG7,1,0.7493
0011p00002SejAK,0,0.2286
0011p00002Sejjo,0,0.2286
0011p00002SelyG,0,0.2286
0011p00002SelEy,0,0.3401
0011p00002SeioH,0,0.4324
0011p00002W9KvR,0,0.2286
0011p00002SemGd,1,0.7493
0011p00002SekcD,0,0.4161
0011p00002Sekpo,0,0.2286
0011p00002SemEz,0,0.2286
0011p00002SekOG,0,0.2286
0011p00002SelhF,0,0.2286
0011p00002SejRz,1,0.7493
0011p00002Sel7V,0,0.2286
0011p00002SekqC,0,0.4324
0011p00002SemE0,0,0.2286
0011p00002SekbN,0,0.4161
0011p00002Sekqm,0,0.2286
0011p00002SemNR,0,0.2406
0011p00002SeliF,0,0.4161
0011p00002Sej3c,0,0.2286
0011p00002Sem9J,0,0.4161
0011p00002Sem9W,0,0.2286
0011p00002SemJf,0,0.3318
0011p00002SelvC,0,0.2286
0011p00002SemGx,0,0.2406
0011p00002SemQa,0,0.2286
0011p00002SemRb,0,0.3318
0011p00002SekBb,1,0.7493
0011p00002SekRa,1,0.7493
0011p00002SekBu,0,0.2286
0011p00002Sek9m,0,0.2286
0011p00002Sejxk,0,0.3318
0011p00002Sek7K,0,0.2286
0011p00002SekSY,0,0.2406
0011p00002SemSe,0,0.1865
0011p00002SejQt,0,0.2643
0011p00002dNAqZ,1,0.5542
0011p00002dLZul,0,0.2286
0011p00002SeSfg,0,0.2286
0011p00002SeUJA,0,0.2286
0011p00002SeUJB,1,0.6756
0011p00002SeSbd,0,0.2286
0011p00002SeSbr,0,0.2286
0011p00002SeSzM,0,0.2286
0011p00002SeSez,0,0.4161
0011p00001ShAWc,0,0.2286
00124000009xD1G,0,0.2286
0012400000F3ZDg,0,0.2286
0012400000BOUIR,0,0.4161
0011p00002SepbS,1,0.5542
0011p00001o5bNJ,0,0.2286
0012400000GVBET,0,0.4634
0012400000IcfH1,0,0.3318
0012400000UdCMm,0,0.3318
0012400000fshrd,0,0.4161
0012400000GWA00,1,0.601
0012400000KiJo4,0,0.3318
0011p00001hoqiX,0,0.2286
0011p00001uKeLR,1,0.8335
0012400000gO4lT,1,0.7493
0012400000DnRwJ,1,0.8335
0012400000UdO0J,1,0.6756
0011p00001uJ8Oe,0,0.3318
0012400000bp6s9,0,0.2286
0012400000conqI,0,0.2286
0012400000bpuhL,0,0.4634
0011p00002M6CoN,1,0.5441
0011p00001SgcWW,1,0.7493
0012400000bUkuw,1,0.5542
0012400000fFlJP,1,0.6756
0012400000fF7jH,1,0.7836
0012400000el5Ic,0,0.2286
0012400000fFnbj,0,0.2286
0012400000frNBM,0,0.2286
0012400000fFlIt,0,0.2286
0011p00001hmskD,1,0.5542
0012400000elKGW,1,0.7836
0012400000TzwXS,0,0.3318
0012400001JLCFz,0,0.3318
0012400000gzLUF,0,0.3318
0012400000WAjzc,1,0.8335
0012400000dIEYr,0,0.4161
0011p00001kWWrT,1,0.8335
0012400001KcCjC,1,0.7836
0012400001JLkdh,0,0.2643
0011p000020FY41,0,0.4161
