Account_ID,Activities_Last_30_Days,Employees,ZoomInfo_Employee_Range,ZoomInfo_Revenue_Range,Organic_Visits,Pct_Organic_Visits,SEO_Visits,URLs_Indexed,ZoomInfo_Global_HQ_Country,Annual_Revenue_converted,Adjusted_Industry,Account_ICP_Score,Account_ICP_Tier,Page_Count,Page_Count_Range,Alexa_Rank,Parent_Account_Status,y
0011p00001Sgf9s,0.0,2940.0,"1,000 - 5,000",-,,,0.0,,US,1311577953.5,Other,41.667,Tier A,,-,511.0,-,prospect
00124000015MJ24,0.0,10000.0,-,-,31310211.0,0.66,31310211.0,1570000.0,-,1111300000.0,Media,100.0,Tier A,1570000.0,>1M,904.0,Prospect,prospect
0011p00002Seahr,0.0,10000.0,"500 - 1,000",-,379582.0,,379582.0,1240000.0,non_US,1000000000.0,Other,50.0,Tier A,1240000.0,>1M,,-,prospect
0011p00001Sh9HC,0.0,10000.0,"5,000 - 10,000",$1 bil. - $5 bil.,12467.0,0.16,16015933.0,1120.0,US,1000000000.0,Media,100.0,Tier A,3631503.0,>1M,134813.0,-,prospect
00124000006q51A,0.0,1000.0,250 - 500,$250 mil. - $500 mil.,24011.0,,359903069.0,3320.0,non_US,1111300000.0,Classified,91.667,Tier A,24266093.0,>1M,520835.0,-,prospect
00124000009UB7u,0.0,200.0,-,-,26288083.0,,26288083.0,1180000.0,-,1111300.0,Media,91.667,Tier A,1180000.0,>1M,2323.0,-,prospect
0012400000F49Il,0.0,85.0,50 - 100,$10 mil. - $25 mil.,16698170.0,0.18,16698170.0,,non_US,18669840.0,Retail,66.667,Tier A,,-,890.0,-,prospect
00124000004ryjG,0.0,5000.0,"1,000 - 5,000",$250 mil. - $500 mil.,5223082.0,0.76,5223082.0,882000.0,US,0.0,Classified,95.833,Tier A,884330.0,Between 500K and 1M,14653.0,-,prospect
0012400000U1oIW,6.0,10000.0,"5,000 - 10,000",-,31123620.0,0.66,38835584.0,29400000.0,non_US,277825000.0,Media,100.0,Tier A,29400000.0,>1M,496.0,Prospect,prospect
0012400000KiJUW,0.0,2793.0,"1,000 - 5,000",Over $5 bil.,117039211.0,0.16,117039211.0,,non_US,5667630000.0,Retail,62.5,Tier A,,-,33.0,-,prospect
0012400000Xw415,0.0,10000.0,100 - 250,$25 mil. - $50 mil.,1133531.0,,1133531.0,1090000.0,US,1000000000.0,Classified,79.167,Tier A,1090000.0,>1M,1000001.0,Prospect,prospect
0011p00002dLRRN,4.0,60.0,50 - 100,-,,,0.0,,US,50000000.0,Other,12.5,Tier A,,-,7816.0,-,prospect
