Account_ID,Activities_Last_30_Days,Employees,ZoomInfo_Employee_Range,ZoomInfo_Revenue_Range,Organic_Visits,Pct_Organic_Visits,SEO_Visits,URLs_Indexed,ZoomInfo_Global_HQ_Country,Annual_Revenue_converted,Adjusted_Industry,Account_ICP_Score,Account_ICP_Tier,Page_Count,Page_Count_Range,Alexa_Rank,Parent_Account_Status,y
0012400000L5cmZ,0.0,10.0,unknown,unknown,61688430.0,0.34,61688430.0,27700000.0,non_US,3333900.0,Retail,91.667,Tier A,27700000.0,>1M,331.0,unknown,no
00124000004sEH5,51.0,10000.0,unknown,unknown,19397082.0,0.93,28615923.0,76200.0,non_US,13335600000.0,Retail,100.0,Tier A,206300.0,Between 100K and 250K,8881.0,Prospect,yes
00124000004sUGG,0.0,5000.0,unknown,unknown,49283858.0,0.53,50132407.0,12600000.0,non_US,555650000.0,Media,100.0,Tier A,12709000.0,>1M,1118.0,Lost Customer,no
0011p00002SeaiQ,0.0,383.0,250 - 500,$50 mil. - $100 mil.,177515.0,,177515.0,1090000.0,US,73600000.0,Classified,70.833,Tier A,1090000.0,>1M,126905.0,unknown,no
0011p00001SghSL,0.0,5000.0,"1,000 - 5,000",$500 mil. - $1 bil.,8052961.0,0.59,10416602.0,2340000.0,US,250000000.0,Classified,100.0,Tier A,3640000.0,>1M,4742.0,Prospect,no
0012400000UdFhM,9.0,1000.0,unknown,unknown,5612659.0,0.46,9170913.0,1180000.0,non_US,1111300.0,Retail,95.833,Tier A,1530000.0,>1M,3195.0,unknown,no
0012400001A9hdX,33.0,12000.0,"Over 10,000",$1 bil. - $5 bil.,8015111.0,0.4,8015111.0,354000.0,US,2069565217.0,Retail,95.833,Tier A,354000.0,Between 250K and 500K,1749.0,unknown,yes
00124000006qD7b,0.0,250.0,unknown,unknown,22535261.0,0.4,22535261.0,794000.0,non_US,5556500.0,Media,95.833,Tier A,794000.0,Between 500K and 1M,12932.0,Prospect,yes
0012400000UdFMA,0.0,5000.0,"1,000 - 5,000",$250 mil. - $500 mil.,11350098.0,0.38,11350098.0,3030000.0,non_US,1111300000.0,Classified,100.0,Tier A,3030000.0,>1M,598.0,unknown,no
0011p00001uJIvn,15.0,200.0,100 - 250,$25 mil. - $50 mil.,2450624.0,0.36,6407243.0,2750000.0,US,50000000.0,Classified,100.0,Tier A,3223000.0,>1M,7103.0,Prospect,no
00124000007VZ8M,0.0,40.0,unknown,unknown,2076900.0,,2076900.0,2600000.0,non_US,5556500.0,Classified,79.167,Tier A,2600000.0,>1M,3720.0,unknown,no
00124000006plD3,13.0,20.0,unknown,unknown,21206152.0,0.85,21206152.0,1150000.0,non_US,55565000.0,Travel,87.5,Tier A,1150000.0,>1M,9300.0,Lost Customer,yes
00124000004qNJd,5.0,5000.0,unknown,unknown,9114146.0,,9114146.0,393000.0,non_US,655788976.75,Classified,100.0,Tier A,393000.0,Between 250K and 500K,3487.0,unknown,no
0012400000h11ge,0.0,10000.0,unknown,unknown,7212649.0,0.68,7212649.0,374000.0,non_US,1111300000.0,Retail,100.0,Tier A,374000.0,Between 250K and 500K,18072.0,Prospect,no
0011p00001Sgh9J,4.0,1772.0,"1,000 - 5,000",Over $5 bil.,47799032.0,0.18,48346200.0,39800000.0,non_US,354400000.0,Media,100.0,Tier A,39800000.0,>1M,81.0,unknown,no
00124000016loUx,6.0,5000.0,unknown,unknown,4340934.0,0.45,4340934.0,5220000.0,non_US,55565000.0,Retail,100.0,Tier A,5220000.0,>1M,2471.0,Prospect,no
00124000006q5Fi,0.0,50.0,unknown,unknown,14655391.0,0.53,65386091.0,12600000.0,non_US,11113000.0,Media,87.5,Tier A,25309000.0,>1M,1118.0,unknown,no
00124000006qFGE,3.0,500.0,5 - 10,$25 mil. - $50 mil.,30977283.0,0.47,30977283.0,1210000.0,non_US,55565000.0,Media,95.833,Tier A,1210000.0,>1M,3076.0,unknown,no
0012400000AL5rv,0.0,5000.0,"1,000 - 5,000",unknown,12108766.0,0.24,12108766.0,11300000.0,non_US,0.0,Travel,91.667,Tier A,11300000.0,>1M,581.0,Prospect,no
00124000007yKIi,27.0,10000.0,"Over 10,000",Over $5 bil.,35230307.0,0.5,36172836.0,3400000.0,non_US,1111300000.0,Other,100.0,Tier A,3528000.0,>1M,663.0,unknown,no
00124000004ryiz,0.0,522.0,unknown,unknown,10467019.0,0.76,10467019.0,66700000.0,non_US,65578897.67,Media,95.833,Tier A,66700000.0,>1M,3030.0,unknown,yes
00124000004ryjB,11.0,500.0,unknown,unknown,9224311.0,0.58,9224311.0,883000.0,non_US,0.0,Retail,95.833,Tier A,883000.0,Between 500K and 1M,2038.0,unknown,no
0012400000GCxLu,14.0,200.0,unknown,unknown,11238815.0,0.6,11238815.0,5180000.0,non_US,11113000.0,Other,70.833,Tier A,5180000.0,>1M,15708.0,Prospect,yes
00124000005MPxU,0.0,200.0,50 - 100,$25 mil. - $50 mil.,4471669.0,0.74,4471669.0,6050000.0,non_US,11113000.0,Classified,95.833,Tier A,6050000.0,>1M,14752.0,unknown,no
0012400000h1KFH,0.0,5000.0,unknown,unknown,1107335.0,,1107335.0,1580000.0,non_US,327894488.37,Retail,87.5,Tier A,1580000.0,>1M,14611.0,unknown,no
00124000014UIE5,24.0,1000.0,"500 - 1,000",$100 mil. - $250 mil.,14560728.0,0.86,14560728.0,373000.0,US,100000000.0,Media,91.667,Tier A,373000.0,Between 250K and 500K,1000001.0,unknown,yes
00124000004sWQj,20.0,500.0,unknown,unknown,23616425.0,0.504,23616425.0,2160000.0,non_US,11113000.0,Classified,95.833,Tier A,2160000.0,>1M,4610.0,Prospect,yes
00124000005ME9p,0.0,,unknown,unknown,,,72184798.0,,non_US,,Media,87.5,Tier A,,<500,1000001.0,unknown,no
0012400000dJvch,5.0,84183.0,"Over 10,000",Over $5 bil.,8750555.0,0.52,13214208.0,8760000.0,non_US,23600603000.0,Other,100.0,Tier A,9042773.0,>1M,1165.0,unknown,no
00124000005MUkW,0.0,350.0,unknown,unknown,23575782.0,,23575782.0,1170000.0,non_US,100017000.0,Other,75.0,Tier A,1170000.0,>1M,76495.0,Prospect,yes
